"","Sodium","Sugar","Type","Desc"
"1",0,11.4,"A","11.4 A"
"2",340,18.9,"A","18.9 A"
"3",70,6.1,"A","6.1 A"
"4",140,14.7,"C","14.7 C"
"6",180,1.4,"C","1.4 C"
"7",210,9.6,"C","9.6 C"
"8",150,17.2,"A","17.2 A"
"9",100,0.2,"A","0.2 A"
"10",130,13.4,"C","13.4 C"
"11",140,14.2,"C","14.2 C"
"12",180,6.6,"A","6.6 A"
"13",190,9.2,"C","9.2 C"
"14",160,5.8,"C","5.8 C"
"15",290,3.5,"C","3.5 C"
"16",50,15.3,"A","15.3 A"
"17",220,4.6,"A","4.6 A"
"18",180,5.2,"A","5.2 A"
"19",200,2.8,"A","2.8 A"
"20",210,12.5,"C","12.5 C"
